iri	label	type	parentlabel	category	definition	min	max	average	median	upper_quartile	lower_quartile	number_distinct_values	distinct_values	variable	replaces
EUPATH_0009247_1_12_98_3	1.12.98.3: Methanosarcina-phenazine hydrogenase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay		0.607378	0.751708	0.702589	0.748681	0.7501945	0.6780295	3	["0.607378","0.748681","0.751708"]		
EUPATH_0009247_1_12_99_6	1.12.99.6: Hydrogenase (acceptor)	number	4th level EC metagenome abundance data	Metagenomic sequencing assay		0.200155	132.964838	8.68060921895425	3.681804	9.6354	1.514722	306			
EUPATH_0009247_1_13_11_1	1.13.11.1: Catechol 1,2-dioxygenase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay		1.32359	9.60214	4.78425428571429	2.80413	7.96126	1.9187	7	["1.323590","1.388850","2.448550","2.804130","6.607190","9.315330","9.602140"]		
EUPATH_0009247_1_13_11_11	1.13.11.11: Tryptophan 2,3-dioxygenase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay		0.277907	63.2689	6.03632943636364	2.48721	5.50713	1.14867	110			
EUPATH_0009247_1_13_11_15	1.13.11.15: 3,4-dihydroxyphenylacetate 2,3-dioxygenase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay		0.282772	48.1754	5.21065203225806	2.035435	5.02835	0.923671	62			
EUPATH_0009247_1_13_11_16	1.13.11.16: 3-carboxyethylcatechol 2,3-dioxygenase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay		0.146495	20.612912	1.84870551666667	1.101765	2.1558175	0.606428	60			
EUPATH_0009247_1_13_11_2	1.13.11.2: Catechol 2,3-dioxygenase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay		0.45594	14.30376	4.4430903125	3.38726	7.08179	1.025715	32			
EUPATH_0009247_1_13_11_24	1.13.11.24: Quercetin 2,3-dioxygenase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay		0.291731	105.00904	6.2875201875	2.4911815	6.422242	1.212613	224			
EUPATH_0009247_1_13_11_27	1.13.11.27: 4-hydroxyphenylpyruvate dioxygenase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay		0.293743	94.5498	6.45765129166667	2.420475	6.63463	1.207025	72			
EUPATH_0009247_1_13_11_29	1.13.11.29: Stizolobate synthase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay		0.500057	6.71453	2.2284854	1.34493	1.39353	1.18938	5	["0.500057","1.189380","1.344930","1.393530","6.714530"]		
EUPATH_0009247_1_13_11_3	1.13.11.3: Protocatechuate 3,4-dioxygenase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay		0.311536	18.2145	3.93935459259259	1.77742	5.422085	0.8988715	27			
EUPATH_0009247_1_13_11_39	1.13.11.39: Biphenyl-2,3-diol 1,2-dioxygenase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay		0.892202	28.3204	8.2499005	1.8935	15.518425	0.981376	4	["0.892202","1.070550","2.716450","28.320400"]		
EUPATH_0009247_1_13_11_4	1.13.11.4: Gentisate 1,2-dioxygenase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay		0.565551	14.6508	3.61385914285714	1.26459	3.437075	0.9709615	7	["0.565551","0.778123","1.163800","1.264590","2.881380","3.992770","14.650800"]		
EUPATH_0009247_1_13_11_5	1.13.11.5: Homogentisate 1,2-dioxygenase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay		0.291739	88.3481	7.76062873	2.2689895	6.91151	1.27252	100			
EUPATH_0009247_1_13_11_53	1.13.11.53: Acireductone dioxygenase (Ni(2+)-requiring)	number	4th level EC metagenome abundance data	Metagenomic sequencing assay		0.219323	90.5377	4.75199067213115	1.51298	3.52609	0.854424	61			
EUPATH_0009247_1_13_11_54	1.13.11.54: Acireductone dioxygenase (Fe(2+)-requiring)	number	4th level EC metagenome abundance data	Metagenomic sequencing assay		0.17234	90.5377	5.23697796202532	1.44935	3.824065	0.784857	79			
EUPATH_0009247_1_13_11_6	1.13.11.6: 3-hydroxyanthranilate 3,4-dioxygenase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay		0.39979	75.5137	6.75876982666667	3.14135	7.736705	1.38484	75			
EUPATH_0009247_1_13_11_63	1.13.11.63: Beta-carotene 15,15'-dioxygenase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay		1.40429	2.341998	1.873144	1.873144	2.341998	1.40429	2	["1.404290","2.341998"]		
EUPATH_0009247_1_13_11_8	1.13.11.8: Protocatechuate 4,5-dioxygenase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay		0.239878	34.2694	3.51991865957447	1.58844	2.92295	0.978919	47			
EUPATH_0009247_1_13_12_16	1.13.12.16: Nitronate monooxygenase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay		0.216224	111.1638	5.42712768085106	1.87582	4.9564045	0.999408	235			
EUPATH_0009247_1_13_12_19	1.13.12.19: 2-oxuglutarate dioxygenase (ethylene-forming)	number	4th level EC metagenome abundance data	Metagenomic sequencing assay		0.451758	5.8468	2.20198011111111	2.36817	2.61174	1.01051	9	["0.451758","0.483523","1.010510","1.244060","2.368170","2.481090","2.611740","3.320170","5.846800"]		
EUPATH_0009247_1_13_12_4	1.13.12.4: Lactate 2-monooxygenase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay		0.324281	9.8557	2.54075506666667	2.56467	3.128445	0.89012	15			
EUPATH_0009247_1_14_11_16	1.14.11.16: Peptide-aspartate beta-dioxygenase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay		0.556487	12.6876	4.26526671428571	1.94231	6.01996	1.315275	7	["0.556487","1.130810","1.499740","1.942310","4.549940","7.489980","12.687600"]		
EUPATH_0009247_1_14_11_17	1.14.11.17: Taurine dioxygenase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay		0.144715	30.09311	3.35281592941176	1.53417	3.11783	0.68396	85			
EUPATH_0009247_1_14_11_2	1.14.11.2: Procollagen-proline dioxygenase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay		0.307265	23.6008	3.91491572	2.02415	4.53085	0.86547	25			
EUPATH_0009247_1_14_11_33	1.14.11.33: DNA oxidative demethylase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay		1.44028	13.488	3.863315	2.01395	2.78131	1.4424	6	["1.440280","1.442400","1.524870","2.503030","2.781310","13.488000"]		
EUPATH_0009247_1_14_11_47	1.14.11.47: 50S ribosomal protein L16 3-hydroxylase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay		0.263896	1.02392	0.6625062	0.650655	0.95726	0.4168	5	["0.263896","0.416800","0.650655","0.957260","1.023920"]		
EUPATH_0009247_1_14_12_1	1.14.12.1: Anthranilate 1,2-dioxygenase (deaminating, decarboxylating)	number	4th level EC metagenome abundance data	Metagenomic sequencing assay		0.143081	19.875	1.94128032432432	1.012995	1.66797	0.490645	37			
EUPATH_0009247_1_14_12_10	1.14.12.10: Benzoate 1,2-dioxygenase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay		0.212289	9.87584	2.04527496666667	1.31115	2.56458	0.735705	30			
EUPATH_0009247_1_14_12_13	1.14.12.13: 2-halobenzoate 1,2-dioxygenase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay		6.79298	9.10193	7.947455	7.947455	9.10193	6.79298	2	["6.792980","9.101930"]		
EUPATH_0009247_1_14_12_15	1.14.12.15: Terephthalate 1,2-dioxygenase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay		0.088042	6.86341	1.50931847368421	1.12184	1.68727	0.413486	19			
EUPATH_0009247_1_14_12_17	1.14.12.17: Nitric oxide dioxygenase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay		0.165181	79.8221	6.09066551028807	3.45732	7.0662665	1.389272	243			
EUPATH_0009247_1_14_12_18	1.14.12.18: Biphenyl 2,3-dioxygenase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay		0.096288	5.37163	1.26162241176471	0.897853	1.49557	0.500057	34			
EUPATH_0009247_1_14_12_19	1.14.12.19: 3-phenylpropanoate dioxygenase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay		0.184243	65.13008	3.78153978947368	2.2033845	4.123095	0.9040195	76			
EUPATH_0009247_1_14_12_3	1.14.12.3: Benzene 1,2-dioxygenase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay		0.190712	56.0383	5.77287434375	1.95457	4.722735	0.744431	64			
EUPATH_0009247_1_14_12_7	1.14.12.7: Phthalate 4,5-dioxygenase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay		0.384779	15.9992	3.46113526666667	1.75037	5.23191	0.995233	30			
EUPATH_0009247_1_14_13_1	1.14.13.1: Salicylate 1-monooxygenase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay		0.382943	61.3761	6.23507418055556	2.2285685	4.887605	1.39906	72			
EUPATH_0009247_1_14_13_107	1.14.13.107: Limonene 1,2-monooxygenase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay		0.207424	21.7566	2.90608164583333	1.423027	2.550135	0.938784	48			
EUPATH_0009247_1_14_13_114	1.14.13.114: 6-hydroxynicotinate 3-monooxygenase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay		0.207449	54.1973	6.08317081333333	2.60917	5.627665	1.56736	75			
EUPATH_0009247_1_14_13_127	1.14.13.127: 3-(3-hydroxy-phenyl)propanoic acid hydroxylase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay		0.170086	107.244328	6.25609429770992	2.400806	4.75182	1.1190615	131			
EUPATH_0009247_1_14_13_132	1.14.13.132: Squalene monooxygenase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay		0.546594	9.42393	4.12085	4.086915	5.83091	1.52266	10	["0.546594","0.723706","1.522660","2.588350","3.926090","4.247740","5.467340","5.830910","6.931180","9.423930"]		
EUPATH_0009247_1_14_13_149	1.14.13.149: Phenylacetyl-CoA 1,2-epoxidase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay		0.254332	2.29327	1.273801	1.273801	2.29327	0.254332	2	["0.254332","2.293270"]		
EUPATH_0009247_1_14_13_2	1.14.13.2: 4-hydroxybenzoate 3-monooxygenase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay		0.252835	17.30636	3.52419497619048	1.8102355	4.03004	1.02684	42			
EUPATH_0009247_1_14_13_208	1.14.13.208	number	4th level EC metagenome abundance data	Metagenomic sequencing assay		0.302405	49.4646	5.5905352804878	2.78858	4.61166	1.19809	82			
EUPATH_0009247_1_14_13_239	1.14.13.239	number	4th level EC metagenome abundance data	Metagenomic sequencing assay		0.102796	20.97679	2.48609289473684	1.316572	3.423442	0.566953	38			
EUPATH_0009247_1_14_13_24	1.14.13.24: 3-hydroxybenzoate 6-monooxygenase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay		0.118108	29.7489	3.28752836842105	2.21511	3.33324	0.831169	57			
EUPATH_0009247_1_14_13_48	1.14.13.48: (S)-limonene 6-monooxygenase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay		0.044593	15.8998	1.35818802564103	0.559168	1.05445	0.3352285	39			
EUPATH_0009247_1_14_13_49	1.14.13.49: (S)-limonene 7-monooxygenase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay		0.649607	15.8998	5.57486425	2.875025	9.622165	1.5275635	4	["0.649607","2.405520","3.344530","15.899800"]		
EUPATH_0009247_1_14_13_50	1.14.13.50: Pentachlorophenol monooxygenase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay		0.548905	2.25209	1.4004975	1.4004975	2.25209	0.548905	2	["0.548905","2.252090"]		
EUPATH_0009247_1_14_13_59	1.14.13.59: L-lysine N(6)-monooxygenase (NADPH)	number	4th level EC metagenome abundance data	Metagenomic sequencing assay		0.231844	63.9512	4.3231653671875	2.312715	4.638005	1.038635	128			
EUPATH_0009247_1_14_13_7	1.14.13.7: Phenol 2-monooxygenase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay		0.138943	31.21969	4.18144354237288	2.28607	4.821645	1.140315	59			
EUPATH_0009247_1_14_13_70	1.14.13.70: Sterol 14-alpha-demethylase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay		3.16495	3.16495	3.16495	3.16495			1	["3.164950"]		
EUPATH_0009247_1_14_13_8	1.14.13.8: Flavin-containing monooxygenase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay		0.508275	0.616203	0.56723233333333	0.577219	0.596711	0.542747	3	["0.508275","0.577219","0.616203"]		
EUPATH_0009247_1_14_13_81	1.14.13.81: Magnesium-protoporphyrin IX monomethyl ester (oxidative) cyclase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay		0.956864	0.956864	0.956864	0.956864			1	["0.956864"]		
EUPATH_0009247_1_14_13_82	1.14.13.82: Vanillate monooxygenase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay		0.093886	14.8008	3.11978957142857	1.52524	4.0834	0.590885	49			
EUPATH_0009247_1_14_13_84	1.14.13.84: 4-hydroxyacetophenone monooxygenase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay		0.508275	2.98223	1.3390554	0.616203	2.01135	0.577219	5	["0.508275","0.577219","0.616203","2.011350","2.982230"]		
EUPATH_0009247_1_14_14_1	1.14.14.1: Unspecific monooxygenase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay		1.28144	9.0642	4.258292	2.69545	6.57999	1.67038	5	["1.281440","1.670380","2.695450","6.579990","9.064200"]		
EUPATH_0009247_1_14_14_10	1.14.14.10: Nitrilotriacetate monooxygenase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay		4.18681	4.18681	4.18681	4.18681			1	["4.186810"]		
EUPATH_0009247_1_14_14_12	1.14.14.12: 3-hydroxy-9,10-secoandrosta-1,3,5(10)-triene-9,17-dione monooxygenase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay		4.44433	4.44433	4.44433	4.44433			1	["4.444330"]		
EUPATH_0009247_1_14_14_3	1.14.14.3: Alkanal monooxygenase (FMN-linked)	number	4th level EC metagenome abundance data	Metagenomic sequencing assay		0.352286	13.9116	2.3521821641791	1.18001	2.435245	0.6924485	67			
EUPATH_0009247_1_14_14_5	1.14.14.5: Alkanesulfonate monooxygenase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay		0.170666	73.6177	5.65263076969697	2.246997	4.68691	1.01483	165			
EUPATH_0009247_1_14_14_51	1.14.14.51	number	4th level EC metagenome abundance data	Metagenomic sequencing assay		0.214477	8.58225	1.45303643478261	0.9529915	1.70366	0.581747	46			
EUPATH_0009247_1_14_14_9	1.14.14.9: 4-hydroxyphenylacetate 3-monooxygenase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay		0.290128	29.7202	3.23386996923077	1.37071	3.34858	0.770628	65			
EUPATH_0009247_1_14_16_1	1.14.16.1: Phenylalanine 4-monooxygenase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay		0.147424	15.6918	3.7523248	1.253515	4.60369	0.525071	20			
EUPATH_0009247_1_14_19_n4	1.14.19.n4: Stearoyl-CoA 9-desaturase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay		1.01003	1.01003	1.01003	1.01003			1	["1.010030"]		
EUPATH_0009247_1_14_99_28	1.14.99.28: Transferred entry: 1.14.13.151	number	4th level EC metagenome abundance data	Metagenomic sequencing assay		0.848755	4.26034	2.631353	2.95045	3.783845	1.2365695	8	["0.848755","0.954039","1.519100","2.587030","3.313870","3.536840","4.030850","4.260340"]		
EUPATH_0009247_1_14_99_3	1.14.99.3: Heme oxygenase (biliverdin-producing)	number	4th level EC metagenome abundance data	Metagenomic sequencing assay		2.45891	6.57625	4.51758	4.51758	6.57625	2.45891	2	["2.458910","6.576250"]		
EUPATH_0009247_1_14_99_36	1.14.99.36: Beta-carotene 15,15'-monooxygenase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay		1.4708	1.4708	1.4708	1.4708			1	["1.470800"]		
EUPATH_0009247_1_14_99_40	1.14.99.40: Transferred entry: 1.13.11.79	number	4th level EC metagenome abundance data	Metagenomic sequencing assay		0.479242	6.1411	2.65375654545455	2.43605	3.552085	1.0036835	11			
EUPATH_0009247_1_14_99_46	1.14.99.46: Pyrimidine monooxygenase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay		0.192522	17.795509	2.86841527027027	1.35164	2.86472	0.824602	37			
EUPATH_0009247_1_15_1_1	1.15.1.1: Superoxide dismutase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay		0.35122	178.2138	26.6797215526802	17.777451	34.44512	8.09393	541			
EUPATH_0009247_1_15_1_2	1.15.1.2: Superoxide reductase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay		0.112621	101.13825	4.46726355776892	1.78524	4.0020895	0.932661	251			
EUPATH_0009247_1_16_1_1	1.16.1.1: Mercury(II) reductase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay		0.108201	148.40988	10.01935543769	3.744803	9.707588	1.38176	329			
EUPATH_0009247_1_16_1_3	1.16.1.3: Aquacobalamin reductase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay		0.147318	52.24705	3.07326208571429	1.475675	2.645885	0.7872535	140			
EUPATH_0009247_1_16_1_7	1.16.1.7: Ferric-chelate reductase (NADH)	number	4th level EC metagenome abundance data	Metagenomic sequencing assay		0.305425	1.92093	0.966257	0.719269	1.34404	0.541621	5	["0.305425","0.541621","0.719269","1.344040","1.920930"]		
EUPATH_0009247_1_16_1_9	1.16.1.9: Ferric-chelate reductase (NADPH)	number	4th level EC metagenome abundance data	Metagenomic sequencing assay		0.172517	55.7999	3.09797370873786	1.584924	3.0243405	0.777245	103			
EUPATH_0009247_1_16_3_1	1.16.3.1: Ferroxidase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay		0.197975	154.4906	8.25783447031963	2.53157	6.97047	1.02053	219			
EUPATH_0009247_1_16_3_2	1.16.3.2: Bacterial non-heme ferritin	number	4th level EC metagenome abundance data	Metagenomic sequencing assay		0.304784	332.69157	22.9201110798403	12.26066	25.1718	5.268252	501			
EUPATH_0009247_1_17_1_2	1.17.1.2: 4-hydroxy-3-methylbut-2-enyl diphosphate reductase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay		0.135848	76.0252	6.11742213274336	1.758119	5.5118	0.78839	113			
EUPATH_0009247_1_17_1_4	1.17.1.4: Xanthine dehydrogenase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay		0.152844	137.349676	5.68409121176471	2.66602	5.870972	1.0584	255			
EUPATH_0009247_1_17_1_5	1.17.1.5: Nicotinate dehydrogenase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay		0.067663	101.949936	4.23987586238532	2.0874075	4.071552	0.922865	218			
EUPATH_0009247_1_17_1_8	1.17.1.8: 4-hydroxy-tetrahydrodipicolinate reductase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay		0.187099	161.805	9.34577175802469	3.364223	8.545294	1.608551	405			
EUPATH_0009247_1_17_1_9	1.17.1.9	number	4th level EC metagenome abundance data	Metagenomic sequencing assay		0.074717	152.79137	8.90396417929293	4.184111	10.127814	1.619563	396			
EUPATH_0009247_1_17_2_1	1.17.2.1: Nicotinate dehydrogenase (cytochrome)	number	4th level EC metagenome abundance data	Metagenomic sequencing assay		0.974814	3.33982	1.7011385	1.24496	2.3908	1.011477	4	["0.974814","1.048140","1.441780","3.339820"]		
EUPATH_0009247_1_17_4_1	1.17.4.1: Ribonucleoside-diphosphate reductase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay		0.458432	369.488228	17.7250563130252	7.254406	16.655355	3.5654155	476			
EUPATH_0009247_1_17_4_2	1.17.4.2: Ribonucleoside-triphosphate reductase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay		0.185546	143.423475	8.25196677419355	3.576296	8.5497105	1.6350185	372			
EUPATH_0009247_1_17_5_3	1.17.5.3	number	4th level EC metagenome abundance data	Metagenomic sequencing assay		0.24544	11.7255	1.7995515	1.102375	1.883805	0.801384	24			
EUPATH_0009247_1_17_7_1	1.17.7.1: (E)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase (ferredoxin)	number	4th level EC metagenome abundance data	Metagenomic sequencing assay		0.10127	38.9381	2.34296488617886	1.3687715	2.785449	0.84569	246			
EUPATH_0009247_1_17_7_3	1.17.7.3: (E)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase (flavodoxin)	number	4th level EC metagenome abundance data	Metagenomic sequencing assay		0.226291	101.446	8.78588377380952	3.95499	9.3603295	1.951059	420			
EUPATH_0009247_1_17_7_4	1.17.7.4	number	4th level EC metagenome abundance data	Metagenomic sequencing assay		0.386354	114.319595	10.5768100189076	5.97943	11.424602	3.1800215	476			
EUPATH_0009247_1_17_98_1	1.17.98.1: Bile-acid 7-alpha-dehydroxylase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay		0.158356	3.66206	1.228816	0.7486865	1.407155	0.518618	16			
EUPATH_0009247_1_17_99_1	1.17.99.1: 4-methylphenol dehydrogenase (hydroxylating)	number	4th level EC metagenome abundance data	Metagenomic sequencing assay		0.334655	91.6192	15.830508	4.19895	9.22179	0.637898	9	["0.334655","0.449969","0.637898","1.808310","4.198950","8.365400","9.221790","25.838400","91.619200"]		
EUPATH_0009247_1_17_99_6	1.17.99.6: Epoxyqueuosine reductase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay		0.087958	113.792	6.36861465079365	2.09128	6.222705	0.962761	252			
EUPATH_0009247_1_17_99_7	1.17.99.7	number	4th level EC metagenome abundance data	Metagenomic sequencing assay		0.186695	29.7031	3.75012859259259	1.79895	4.105975	1.148285	27			
EUPATH_0009247_1_18_1_1	1.18.1.1: Rubredoxin--NAD(+) reductase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay		0.020116	1.868805	0.47120393478261	0.29107	0.547245	0.145482	46			
EUPATH_0009247_1_18_1_2	1.18.1.2: Ferredoxin--NADP(+) reductase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay		0.132356	74.6833	4.13104542211055	1.67881	3.6690025	0.8901455	199			
EUPATH_0009247_1_18_1_3	1.18.1.3: Ferredoxin--NAD(+) reductase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay		0.113028	37.925682	3.31563144166667	1.317138	3.5602735	0.7113825	120			
EUPATH_0009247_1_18_1_5	1.18.1.5: Putidaredoxin--NAD(+) reductase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay		1.28071	1.28071	1.28071	1.28071			1	["1.280710"]		
EUPATH_0009247_1_18_1_6	1.18.1.6: Adrenodoxin-NADP(+) reductase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay		0.369097	22.654	4.9788544137931	3.9581	6.73722	1.37861	29			
EUPATH_0009247_1_18_6_1	1.18.6.1: Nitrogenase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay		0.090832	35.119	4.02632457317073	1.5390205	4.37579	0.769827	82			
