Sample_Id	Participant_Id	Habitat [ENVO_01000739]	Host body product [UBERON_0000463]	Host body site [UBERON_0000061]	Phase [EUPATH_0009332]	Sample type [OBI_0100051]
SRR9843889	SRR9843889 (Source)	colon	feces	colon	24	stool
SRR9843890	SRR9843890 (Source)	colon	feces	colon	0	stool
SRR9843891	SRR9843891 (Source)	colon	feces	colon	24	stool
SRR9843892	SRR9843892 (Source)	colon	feces	colon	24	stool
SRR9843893	SRR9843893 (Source)	colon	feces	colon	24	stool
SRR9843894	SRR9843894 (Source)	colon	feces	colon	0	stool
SRR9843895	SRR9843895 (Source)	colon	feces	colon	0	stool
SRR9843896	SRR9843896 (Source)	colon	feces	colon	24	stool
SRR9843897	SRR9843897 (Source)	colon	feces	colon	0	stool
SRR9843898	SRR9843898 (Source)	colon	feces	colon	24	stool
SRR9843899	SRR9843899 (Source)	colon	feces	colon	0	stool
SRR9843900	SRR9843900 (Source)	colon	feces	colon	24	stool
SRR9843901	SRR9843901 (Source)	colon	feces	colon	0	stool
SRR9843902	SRR9843902 (Source)	colon	feces	colon	24	stool
SRR9843903	SRR9843903 (Source)	colon	feces	colon	0	stool
SRR9843904	SRR9843904 (Source)	colon	feces	colon	24	stool
SRR9843905	SRR9843905 (Source)	colon	feces	colon	24	stool
SRR9843906	SRR9843906 (Source)	colon	feces	colon	24	stool
SRR9843907	SRR9843907 (Source)	colon	feces	colon	0	stool
SRR9843908	SRR9843908 (Source)	colon	feces	colon	0	stool
SRR9843909	SRR9843909 (Source)	colon	feces	colon	24	stool
SRR9843910	SRR9843910 (Source)	colon	feces	colon	0	stool
SRR9843911	SRR9843911 (Source)	colon	feces	colon	0	stool
SRR9843912	SRR9843912 (Source)	colon	feces	colon	24	stool
SRR9843913	SRR9843913 (Source)	colon	feces	colon	24	stool
SRR9843914	SRR9843914 (Source)	colon	feces	colon	24	stool
SRR9843915	SRR9843915 (Source)	colon	feces	colon	0	stool
SRR9843916	SRR9843916 (Source)	colon	feces	colon	24	stool
SRR9843917	SRR9843917 (Source)	colon	feces	colon	24	stool
SRR9843918	SRR9843918 (Source)	colon	feces	colon	0	stool
SRR9843919	SRR9843919 (Source)	colon	feces	colon	0	stool
SRR9843920	SRR9843920 (Source)	colon	feces	colon	24	stool
SRR9843921	SRR9843921 (Source)	colon	feces	colon	24	stool
SRR9843922	SRR9843922 (Source)	colon	feces	colon	0	stool
SRR9843923	SRR9843923 (Source)	colon	feces	colon	24	stool
SRR9843924	SRR9843924 (Source)	colon	feces	colon	24	stool
SRR9843925	SRR9843925 (Source)	colon	feces	colon	24	stool
SRR9843926	SRR9843926 (Source)	colon	feces	colon	0	stool
SRR9843927	SRR9843927 (Source)	colon	feces	colon	0	stool
SRR9843928	SRR9843928 (Source)	colon	feces	colon	24	stool
SRR9843929	SRR9843929 (Source)	colon	feces	colon	0	stool
SRR9843930	SRR9843930 (Source)	colon	feces	colon	24	stool
SRR9843931	SRR9843931 (Source)	colon	feces	colon	0	stool
SRR9843932	SRR9843932 (Source)	colon	feces	colon	0	stool
SRR9843933	SRR9843933 (Source)	colon	feces	colon	24	stool
SRR9843934	SRR9843934 (Source)	colon	feces	colon	0	stool
SRR9843935	SRR9843935 (Source)	colon	feces	colon	24	stool
SRR9843936	SRR9843936 (Source)	colon	feces	colon	24	stool
SRR9843937	SRR9843937 (Source)	colon	feces	colon	0	stool
SRR9843938	SRR9843938 (Source)	colon	feces	colon	0	stool
SRR9843939	SRR9843939 (Source)	colon	feces	colon	24	stool
SRR9843940	SRR9843940 (Source)	colon	feces	colon	24	stool
SRR9843941	SRR9843941 (Source)	colon	feces	colon	24	stool
SRR9843942	SRR9843942 (Source)	colon	feces	colon	0	stool
SRR9843943	SRR9843943 (Source)	colon	feces	colon	24	stool
SRR9843944	SRR9843944 (Source)	colon	feces	colon	24	stool
SRR9843945	SRR9843945 (Source)	colon	feces	colon	24	stool
SRR9843946	SRR9843946 (Source)	colon	feces	colon	24	stool
SRR9843947	SRR9843947 (Source)	colon	feces	colon	0	stool
SRR9843948	SRR9843948 (Source)	colon	feces	colon	24	stool
SRR9843949	SRR9843949 (Source)	colon	feces	colon	0	stool
SRR9843950	SRR9843950 (Source)	colon	feces	colon	24	stool
SRR9843951	SRR9843951 (Source)	colon	feces	colon	0	stool
SRR9843952	SRR9843952 (Source)	colon	feces	colon	0	stool
SRR9843953	SRR9843953 (Source)	colon	feces	colon	24	stool
SRR9843954	SRR9843954 (Source)	colon	feces	colon	0	stool
SRR9843955	SRR9843955 (Source)	colon	feces	colon	24	stool
SRR9843956	SRR9843956 (Source)	colon	feces	colon	24	stool
SRR9843957	SRR9843957 (Source)	colon	feces	colon	24	stool
SRR9843958	SRR9843958 (Source)	colon	feces	colon	24	stool
SRR9843959	SRR9843959 (Source)	colon	feces	colon	0	stool
SRR9843960	SRR9843960 (Source)	colon	feces	colon	0	stool
SRR9843961	SRR9843961 (Source)	colon	feces	colon	0	stool
SRR9843962	SRR9843962 (Source)	colon	feces	colon	0	stool
SRR9843963	SRR9843963 (Source)	colon	feces	colon	0	stool
SRR9843964	SRR9843964 (Source)	colon	feces	colon	0	stool
SRR9843965	SRR9843965 (Source)	colon	feces	colon	0	stool
SRR9843966	SRR9843966 (Source)	colon	feces	colon	24	stool
SRR9843967	SRR9843967 (Source)	colon	feces	colon	24	stool
SRR9843968	SRR9843968 (Source)	colon	feces	colon	0	stool
SRR9843969	SRR9843969 (Source)	colon	feces	colon	0	stool
SRR9843970	SRR9843970 (Source)	colon	feces	colon	24	stool
SRR9843971	SRR9843971 (Source)	colon	feces	colon	24	stool
SRR9843972	SRR9843972 (Source)	colon	feces	colon	0	stool
SRR9843973	SRR9843973 (Source)	colon	feces	colon	0	stool
SRR9843974	SRR9843974 (Source)	colon	feces	colon	0	stool
SRR9843975	SRR9843975 (Source)	colon	feces	colon	24	stool
SRR9843976	SRR9843976 (Source)	colon	feces	colon	24	stool
SRR9843977	SRR9843977 (Source)	colon	feces	colon	0	stool
SRR9843978	SRR9843978 (Source)	colon	feces	colon	24	stool
SRR9843979	SRR9843979 (Source)	colon	feces	colon	0	stool
SRR9843980	SRR9843980 (Source)	colon	feces	colon	24	stool
SRR9843981	SRR9843981 (Source)	colon	feces	colon	24	stool
SRR9843982	SRR9843982 (Source)	colon	feces	colon	0	stool
SRR9843983	SRR9843983 (Source)	colon	feces	colon	0	stool
SRR9843984	SRR9843984 (Source)	colon	feces	colon	0	stool
SRR9843985	SRR9843985 (Source)	colon	feces	colon	24	stool
SRR9843986	SRR9843986 (Source)	colon	feces	colon	0	stool
SRR9843987	SRR9843987 (Source)	colon	feces	colon	0	stool
SRR9843988	SRR9843988 (Source)	colon	feces	colon	0	stool
SRR9843989	SRR9843989 (Source)	colon	feces	colon	24	stool
SRR9843990	SRR9843990 (Source)	colon	feces	colon	0	stool
SRR9843991	SRR9843991 (Source)	colon	feces	colon	0	stool
SRR9843992	SRR9843992 (Source)	colon	feces	colon	0	stool
SRR9843993	SRR9843993 (Source)	colon	feces	colon	24	stool
SRR9843994	SRR9843994 (Source)	colon	feces	colon	24	stool
SRR9843995	SRR9843995 (Source)	colon	feces	colon	24	stool
SRR9843996	SRR9843996 (Source)	colon	feces	colon	0	stool
SRR9843997	SRR9843997 (Source)	colon	feces	colon	24	stool
SRR9843998	SRR9843998 (Source)	colon	feces	colon	0	stool
SRR9843999	SRR9843999 (Source)	colon	feces	colon	0	stool
SRR9844000	SRR9844000 (Source)	colon	feces	colon	24	stool
SRR9844001	SRR9844001 (Source)	colon	feces	colon	0	stool
SRR9844002	SRR9844002 (Source)	colon	feces	colon	24	stool
SRR9844003	SRR9844003 (Source)	colon	feces	colon	24	stool
SRR9844004	SRR9844004 (Source)	colon	feces	colon	0	stool
SRR9844005	SRR9844005 (Source)	colon	feces	colon	0	stool
SRR9844006	SRR9844006 (Source)	colon	feces	colon	24	stool
SRR9844007	SRR9844007 (Source)	colon	feces	colon	24	stool
SRR9844008	SRR9844008 (Source)	colon	feces	colon	0	stool
SRR9844009	SRR9844009 (Source)	colon	feces	colon	24	stool
SRR9844010	SRR9844010 (Source)	colon	feces	colon	24	stool
SRR9844011	SRR9844011 (Source)	colon	feces	colon	24	stool
SRR9844012	SRR9844012 (Source)	colon	feces	colon	0	stool
SRR9844013	SRR9844013 (Source)	colon	feces	colon	0	stool
SRR9844014	SRR9844014 (Source)	colon	feces	colon	0	stool
SRR9844015	SRR9844015 (Source)	colon	feces	colon	24	stool
SRR9844016	SRR9844016 (Source)	colon	feces	colon	24	stool
SRR9844017	SRR9844017 (Source)	colon	feces	colon	24	stool
SRR9844018	SRR9844018 (Source)	colon	feces	colon	24	stool
SRR9844019	SRR9844019 (Source)	colon	feces	colon	24	stool
SRR9844020	SRR9844020 (Source)	colon	feces	colon	0	stool
SRR9844021	SRR9844021 (Source)	colon	feces	colon	0	stool
SRR9844022	SRR9844022 (Source)	colon	feces	colon	24	stool
SRR9844023	SRR9844023 (Source)	colon	feces	colon	0	stool
SRR9844024	SRR9844024 (Source)	colon	feces	colon	0	stool
SRR9844025	SRR9844025 (Source)	colon	feces	colon	24	stool
SRR9844026	SRR9844026 (Source)	colon	feces	colon	0	stool
SRR9844027	SRR9844027 (Source)	colon	feces	colon	24	stool
SRR9844028	SRR9844028 (Source)	colon	feces	colon	24	stool
SRR9844029	SRR9844029 (Source)	colon	feces	colon	0	stool
SRR9844030	SRR9844030 (Source)	colon	feces	colon	24	stool
SRR9844031	SRR9844031 (Source)	colon	feces	colon	0	stool
SRR9844032	SRR9844032 (Source)	colon	feces	colon	24	stool
SRR9844033	SRR9844033 (Source)	colon	feces	colon	0	stool
SRR9844034	SRR9844034 (Source)	colon	feces	colon	0	stool
SRR9844035	SRR9844035 (Source)	colon	feces	colon	24	stool
SRR9844036	SRR9844036 (Source)	colon	feces	colon	0	stool
SRR9844037	SRR9844037 (Source)	colon	feces	colon	24	stool
SRR9844038	SRR9844038 (Source)	colon	feces	colon	0	stool
SRR9844039	SRR9844039 (Source)	colon	feces	colon	0	stool
SRR9844040	SRR9844040 (Source)	colon	feces	colon	0	stool
SRR9844041	SRR9844041 (Source)	colon	feces	colon	0	stool
SRR9844042	SRR9844042 (Source)	colon	feces	colon	24	stool
SRR9844043	SRR9844043 (Source)	colon	feces	colon	24	stool
SRR9844044	SRR9844044 (Source)	colon	feces	colon	24	stool
SRR9844045	SRR9844045 (Source)	colon	feces	colon	0	stool
SRR9844046	SRR9844046 (Source)	colon	feces	colon	0	stool
SRR9844047	SRR9844047 (Source)	colon	feces	colon	24	stool
SRR9844048	SRR9844048 (Source)	colon	feces	colon	0	stool
SRR9844049	SRR9844049 (Source)	colon	feces	colon	24	stool
SRR9844050	SRR9844050 (Source)	colon	feces	colon	0	stool
SRR9844051	SRR9844051 (Source)	colon	feces	colon	0	stool
SRR9844052	SRR9844052 (Source)	colon	feces	colon	24	stool
SRR9844053	SRR9844053 (Source)	colon	feces	colon	24	stool
SRR9844054	SRR9844054 (Source)	colon	feces	colon	0	stool
SRR9844055	SRR9844055 (Source)	colon	feces	colon	24	stool
SRR9844056	SRR9844056 (Source)	colon	feces	colon	24	stool
SRR9844057	SRR9844057 (Source)	colon	feces	colon	24	stool
SRR9844058	SRR9844058 (Source)	colon	feces	colon	0	stool
SRR9844059	SRR9844059 (Source)	colon	feces	colon	24	stool
SRR9844060	SRR9844060 (Source)	colon	feces	colon	0	stool
SRR9844061	SRR9844061 (Source)	colon	feces	colon	24	stool
SRR9844062	SRR9844062 (Source)	colon	feces	colon	24	stool
SRR9844063	SRR9844063 (Source)	colon	feces	colon	24	stool
SRR9844064	SRR9844064 (Source)	colon	feces	colon	0	stool
SRR9844065	SRR9844065 (Source)	colon	feces	colon	0	stool
SRR9844066	SRR9844066 (Source)	colon	feces	colon	24	stool
SRR9844067	SRR9844067 (Source)	colon	feces	colon	24	stool
