Sample_Id	Participant_Id	Habitat [ENVO_01000739]	Host body product [UBERON_0000463]	Host body site [UBERON_0000061]	Phase [EUPATH_0009332]	Sample type [OBI_0100051]
SRR9843869	SRR9843869 (Source)	Colon	Feces	colon	0	Stool
SRR9843870	SRR9843870 (Source)	Colon	Feces	colon	0	Stool
SRR9843871	SRR9843871 (Source)	Colon	Feces	colon	0	Stool
SRR9843872	SRR9843872 (Source)	Colon	Feces	colon	24	Stool
SRR9843873	SRR9843873 (Source)	Colon	Feces	colon	24	Stool
SRR9843874	SRR9843874 (Source)	Colon	Feces	colon	0	Stool
SRR9843875	SRR9843875 (Source)	Colon	Feces	colon	0	Stool
SRR9843876	SRR9843876 (Source)	Colon	Feces	colon	0	Stool
SRR9843877	SRR9843877 (Source)	Colon	Feces	colon	0	Stool
SRR9843878	SRR9843878 (Source)	Colon	Feces	colon	24	Stool
SRR9843879	SRR9843879 (Source)	Colon	Feces	colon	0	Stool
SRR9843880	SRR9843880 (Source)	Colon	Feces	colon	0	Stool
SRR9843881	SRR9843881 (Source)	Colon	Feces	colon	24	Stool
SRR9843882	SRR9843882 (Source)	Colon	Feces	colon	24	Stool
SRR9843883	SRR9843883 (Source)	Colon	Feces	colon	0	Stool
SRR9843884	SRR9843884 (Source)	Colon	Feces	colon	0	Stool
SRR9843885	SRR9843885 (Source)	Colon	Feces	colon	24	Stool
SRR9843886	SRR9843886 (Source)	Colon	Feces	colon	24	Stool
SRR9843887	SRR9843887 (Source)	Colon	Feces	colon	0	Stool
SRR9843888	SRR9843888 (Source)	Colon	Feces	colon	0	Stool
SRR9843889	SRR9843889 (Source)	Colon	Feces	colon	24	Stool
SRR9843890	SRR9843890 (Source)	Colon	Feces	colon	0	Stool
SRR9843891	SRR9843891 (Source)	Colon	Feces	colon	24	Stool
SRR9843892	SRR9843892 (Source)	Colon	Feces	colon	24	Stool
SRR9843893	SRR9843893 (Source)	Colon	Feces	colon	24	Stool
SRR9843894	SRR9843894 (Source)	Colon	Feces	colon	0	Stool
SRR9843895	SRR9843895 (Source)	Colon	Feces	colon	0	Stool
SRR9843896	SRR9843896 (Source)	Colon	Feces	colon	24	Stool
SRR9843897	SRR9843897 (Source)	Colon	Feces	colon	0	Stool
SRR9843898	SRR9843898 (Source)	Colon	Feces	colon	24	Stool
SRR9843899	SRR9843899 (Source)	Colon	Feces	colon	0	Stool
SRR9843900	SRR9843900 (Source)	Colon	Feces	colon	24	Stool
SRR9843901	SRR9843901 (Source)	Colon	Feces	colon	0	Stool
SRR9843902	SRR9843902 (Source)	Colon	Feces	colon	24	Stool
SRR9843903	SRR9843903 (Source)	Colon	Feces	colon	0	Stool
SRR9843904	SRR9843904 (Source)	Colon	Feces	colon	24	Stool
SRR9843905	SRR9843905 (Source)	Colon	Feces	colon	24	Stool
SRR9843906	SRR9843906 (Source)	Colon	Feces	colon	24	Stool
SRR9843907	SRR9843907 (Source)	Colon	Feces	colon	0	Stool
SRR9843908	SRR9843908 (Source)	Colon	Feces	colon	0	Stool
SRR9843909	SRR9843909 (Source)	Colon	Feces	colon	24	Stool
SRR9843910	SRR9843910 (Source)	Colon	Feces	colon	0	Stool
SRR9843911	SRR9843911 (Source)	Colon	Feces	colon	0	Stool
SRR9843912	SRR9843912 (Source)	Colon	Feces	colon	24	Stool
SRR9843913	SRR9843913 (Source)	Colon	Feces	colon	24	Stool
SRR9843914	SRR9843914 (Source)	Colon	Feces	colon	24	Stool
SRR9843915	SRR9843915 (Source)	Colon	Feces	colon	0	Stool
SRR9843916	SRR9843916 (Source)	Colon	Feces	colon	24	Stool
SRR9843917	SRR9843917 (Source)	Colon	Feces	colon	24	Stool
SRR9843918	SRR9843918 (Source)	Colon	Feces	colon	0	Stool
SRR9843919	SRR9843919 (Source)	Colon	Feces	colon	0	Stool
SRR9843920	SRR9843920 (Source)	Colon	Feces	colon	24	Stool
SRR9843921	SRR9843921 (Source)	Colon	Feces	colon	24	Stool
SRR9843922	SRR9843922 (Source)	Colon	Feces	colon	0	Stool
SRR9843923	SRR9843923 (Source)	Colon	Feces	colon	24	Stool
SRR9843924	SRR9843924 (Source)	Colon	Feces	colon	24	Stool
SRR9843925	SRR9843925 (Source)	Colon	Feces	colon	24	Stool
SRR9843926	SRR9843926 (Source)	Colon	Feces	colon	0	Stool
SRR9843927	SRR9843927 (Source)	Colon	Feces	colon	0	Stool
SRR9843928	SRR9843928 (Source)	Colon	Feces	colon	24	Stool
SRR9843929	SRR9843929 (Source)	Colon	Feces	colon	0	Stool
SRR9843930	SRR9843930 (Source)	Colon	Feces	colon	24	Stool
SRR9843931	SRR9843931 (Source)	Colon	Feces	colon	0	Stool
SRR9843932	SRR9843932 (Source)	Colon	Feces	colon	0	Stool
SRR9843933	SRR9843933 (Source)	Colon	Feces	colon	24	Stool
SRR9843934	SRR9843934 (Source)	Colon	Feces	colon	0	Stool
SRR9843935	SRR9843935 (Source)	Colon	Feces	colon	24	Stool
SRR9843936	SRR9843936 (Source)	Colon	Feces	colon	24	Stool
SRR9843937	SRR9843937 (Source)	Colon	Feces	colon	0	Stool
SRR9843938	SRR9843938 (Source)	Colon	Feces	colon	0	Stool
SRR9843939	SRR9843939 (Source)	Colon	Feces	colon	24	Stool
SRR9843940	SRR9843940 (Source)	Colon	Feces	colon	24	Stool
SRR9843941	SRR9843941 (Source)	Colon	Feces	colon	24	Stool
SRR9843942	SRR9843942 (Source)	Colon	Feces	colon	0	Stool
SRR9843943	SRR9843943 (Source)	Colon	Feces	colon	24	Stool
SRR9843944	SRR9843944 (Source)	Colon	Feces	colon	24	Stool
SRR9843945	SRR9843945 (Source)	Colon	Feces	colon	24	Stool
SRR9843946	SRR9843946 (Source)	Colon	Feces	colon	24	Stool
SRR9843947	SRR9843947 (Source)	Colon	Feces	colon	0	Stool
SRR9843948	SRR9843948 (Source)	Colon	Feces	colon	24	Stool
SRR9843949	SRR9843949 (Source)	Colon	Feces	colon	0	Stool
SRR9843950	SRR9843950 (Source)	Colon	Feces	colon	24	Stool
SRR9843951	SRR9843951 (Source)	Colon	Feces	colon	0	Stool
SRR9843952	SRR9843952 (Source)	Colon	Feces	colon	0	Stool
SRR9843953	SRR9843953 (Source)	Colon	Feces	colon	24	Stool
SRR9843954	SRR9843954 (Source)	Colon	Feces	colon	0	Stool
SRR9843955	SRR9843955 (Source)	Colon	Feces	colon	24	Stool
SRR9843956	SRR9843956 (Source)	Colon	Feces	colon	24	Stool
SRR9843957	SRR9843957 (Source)	Colon	Feces	colon	24	Stool
SRR9843958	SRR9843958 (Source)	Colon	Feces	colon	24	Stool
SRR9843959	SRR9843959 (Source)	Colon	Feces	colon	0	Stool
SRR9843960	SRR9843960 (Source)	Colon	Feces	colon	0	Stool
SRR9843961	SRR9843961 (Source)	Colon	Feces	colon	0	Stool
SRR9843962	SRR9843962 (Source)	Colon	Feces	colon	0	Stool
SRR9843963	SRR9843963 (Source)	Colon	Feces	colon	0	Stool
SRR9843964	SRR9843964 (Source)	Colon	Feces	colon	0	Stool
SRR9843965	SRR9843965 (Source)	Colon	Feces	colon	0	Stool
SRR9843966	SRR9843966 (Source)	Colon	Feces	colon	24	Stool
SRR9843967	SRR9843967 (Source)	Colon	Feces	colon	24	Stool
SRR9843968	SRR9843968 (Source)	Colon	Feces	colon	0	Stool
SRR9843969	SRR9843969 (Source)	Colon	Feces	colon	0	Stool
SRR9843970	SRR9843970 (Source)	Colon	Feces	colon	24	Stool
SRR9843971	SRR9843971 (Source)	Colon	Feces	colon	24	Stool
SRR9843972	SRR9843972 (Source)	Colon	Feces	colon	0	Stool
SRR9843973	SRR9843973 (Source)	Colon	Feces	colon	0	Stool
SRR9843974	SRR9843974 (Source)	Colon	Feces	colon	0	Stool
SRR9843975	SRR9843975 (Source)	Colon	Feces	colon	24	Stool
SRR9843976	SRR9843976 (Source)	Colon	Feces	colon	24	Stool
SRR9843977	SRR9843977 (Source)	Colon	Feces	colon	0	Stool
SRR9843978	SRR9843978 (Source)	Colon	Feces	colon	24	Stool
SRR9843979	SRR9843979 (Source)	Colon	Feces	colon	0	Stool
SRR9843980	SRR9843980 (Source)	Colon	Feces	colon	24	Stool
SRR9843981	SRR9843981 (Source)	Colon	Feces	colon	24	Stool
SRR9843982	SRR9843982 (Source)	Colon	Feces	colon	0	Stool
SRR9843983	SRR9843983 (Source)	Colon	Feces	colon	0	Stool
SRR9843984	SRR9843984 (Source)	Colon	Feces	colon	0	Stool
SRR9843985	SRR9843985 (Source)	Colon	Feces	colon	24	Stool
SRR9843986	SRR9843986 (Source)	Colon	Feces	colon	0	Stool
SRR9843987	SRR9843987 (Source)	Colon	Feces	colon	0	Stool
SRR9843988	SRR9843988 (Source)	Colon	Feces	colon	0	Stool
SRR9843989	SRR9843989 (Source)	Colon	Feces	colon	24	Stool
SRR9843990	SRR9843990 (Source)	Colon	Feces	colon	0	Stool
SRR9843991	SRR9843991 (Source)	Colon	Feces	colon	0	Stool
SRR9843992	SRR9843992 (Source)	Colon	Feces	colon	0	Stool
SRR9843993	SRR9843993 (Source)	Colon	Feces	colon	24	Stool
SRR9843994	SRR9843994 (Source)	Colon	Feces	colon	24	Stool
SRR9843995	SRR9843995 (Source)	Colon	Feces	colon	24	Stool
SRR9843996	SRR9843996 (Source)	Colon	Feces	colon	0	Stool
SRR9843997	SRR9843997 (Source)	Colon	Feces	colon	24	Stool
SRR9843998	SRR9843998 (Source)	Colon	Feces	colon	0	Stool
SRR9843999	SRR9843999 (Source)	Colon	Feces	colon	0	Stool
SRR9844000	SRR9844000 (Source)	Colon	Feces	colon	24	Stool
SRR9844001	SRR9844001 (Source)	Colon	Feces	colon	0	Stool
SRR9844002	SRR9844002 (Source)	Colon	Feces	colon	24	Stool
SRR9844003	SRR9844003 (Source)	Colon	Feces	colon	24	Stool
SRR9844004	SRR9844004 (Source)	Colon	Feces	colon	0	Stool
SRR9844005	SRR9844005 (Source)	Colon	Feces	colon	0	Stool
SRR9844006	SRR9844006 (Source)	Colon	Feces	colon	24	Stool
SRR9844007	SRR9844007 (Source)	Colon	Feces	colon	24	Stool
SRR9844008	SRR9844008 (Source)	Colon	Feces	colon	0	Stool
SRR9844009	SRR9844009 (Source)	Colon	Feces	colon	24	Stool
SRR9844010	SRR9844010 (Source)	Colon	Feces	colon	24	Stool
SRR9844011	SRR9844011 (Source)	Colon	Feces	colon	24	Stool
SRR9844012	SRR9844012 (Source)	Colon	Feces	colon	0	Stool
SRR9844013	SRR9844013 (Source)	Colon	Feces	colon	0	Stool
SRR9844014	SRR9844014 (Source)	Colon	Feces	colon	0	Stool
SRR9844015	SRR9844015 (Source)	Colon	Feces	colon	24	Stool
SRR9844016	SRR9844016 (Source)	Colon	Feces	colon	24	Stool
SRR9844017	SRR9844017 (Source)	Colon	Feces	colon	24	Stool
SRR9844018	SRR9844018 (Source)	Colon	Feces	colon	24	Stool
SRR9844019	SRR9844019 (Source)	Colon	Feces	colon	24	Stool
SRR9844020	SRR9844020 (Source)	Colon	Feces	colon	0	Stool
SRR9844021	SRR9844021 (Source)	Colon	Feces	colon	0	Stool
SRR9844022	SRR9844022 (Source)	Colon	Feces	colon	24	Stool
SRR9844023	SRR9844023 (Source)	Colon	Feces	colon	0	Stool
SRR9844024	SRR9844024 (Source)	Colon	Feces	colon	0	Stool
SRR9844025	SRR9844025 (Source)	Colon	Feces	colon	24	Stool
SRR9844026	SRR9844026 (Source)	Colon	Feces	colon	0	Stool
SRR9844027	SRR9844027 (Source)	Colon	Feces	colon	24	Stool
SRR9844028	SRR9844028 (Source)	Colon	Feces	colon	24	Stool
SRR9844029	SRR9844029 (Source)	Colon	Feces	colon	0	Stool
SRR9844030	SRR9844030 (Source)	Colon	Feces	colon	24	Stool
SRR9844031	SRR9844031 (Source)	Colon	Feces	colon	0	Stool
SRR9844032	SRR9844032 (Source)	Colon	Feces	colon	24	Stool
SRR9844033	SRR9844033 (Source)	Colon	Feces	colon	0	Stool
